#950 M-BGP deployment cases by Hurricane Electric (AS6939) identified before 20200510.
#Format: 
#border router|peeringASN,<neighbor address list by show ip bgp summary (separated by comma)>|prefix,<Next-hop list by show ip bgp route detail (separated by comma)>
den1|54113,206.51.46.84,206.51.46.94|104.156.81.0/24,206.51.46.94,206.51.46.84
den1|63270,206.51.46.18,206.51.46.118|209.212.54.0/24,206.51.46.18,206.51.46.118
den1|714,206.51.46.12,206.51.46.20|17.84.208.0/24,206.51.46.12,206.51.46.20
den1|8075,206.51.46.72,206.51.46.100|52.96.38.0/24,206.51.46.100,206.51.46.72
dub1|15830,185.1.109.1,185.1.109.2|64.30.151.0/24,185.1.109.2,185.1.109.1
dub1|54113,185.6.36.146,185.6.36.147|23.235.36.0/24,185.6.36.146,185.6.36.147
dub1|714,185.6.36.122,185.6.36.123|17.84.208.0/24,185.6.36.123,185.6.36.122
dur1|327693,196.10.141.220,196.10.141.221|102.67.183.0/24,196.10.141.220,196.10.141.221
dur1|327987,196.10.141.50,196.223.30.127|41.78.244.0/24,196.223.30.127,196.10.141.50
dur1|42,196.10.141.96,196.223.30.16|114.69.222.0/24,196.223.30.16,196.10.141.96
dus1|42,185.1.58.29,194.146.118.10|65.22.4.0/24,185.1.58.29,194.146.118.10
dus1|48200,185.1.58.126,194.146.118.6|194.62.23.0/24,194.146.118.6,185.1.58.126
dus1|50629,185.1.58.10,194.146.118.157|87.253.189.0/24,185.1.58.10,194.146.118.157
dus1|56665,194.146.118.136,194.146.118.164|212.66.67.0/24,194.146.118.164,194.146.118.136
dus1|62955,185.1.58.15,194.146.118.175|8.42.123.0/24,194.146.118.175,185.1.58.15
dus1|6805,194.146.118.40,194.146.118.45|194.15.237.0/24,194.146.118.40,194.146.118.45
dus1|714,194.146.118.170,194.146.118.171|17.84.208.0/24,194.146.118.171,194.146.118.170
fra1|10310,80.81.192.115,80.81.193.115|87.248.104.0/24,80.81.193.115,80.81.192.115
fra1|12306,80.81.192.132,80.81.193.132|193.99.144.0/24,80.81.192.132,80.81.193.132
fra1|12337,80.81.192.88,80.81.193.88|194.31.2.0/24,80.81.192.88,80.81.193.88
fra1|12360,80.81.194.18,80.81.195.18|194.55.138.0/24,80.81.194.18,80.81.195.18
fra1|1241,80.81.192.90,80.81.193.231,80.81.194.129,80.81.195.130|91.216.206.0/24,80.81.192.90,80.81.193.231,80.81.195.130,80.81.194.129
fra1|1267,80.81.192.215,80.81.193.215|192.94.212.0/24,80.81.193.215,80.81.192.215
fra1|12989,80.81.192.224,80.81.193.224|64.145.67.0/24,80.81.193.224,80.81.192.224
fra1|13030,80.81.192.67,80.81.193.67|193.47.153.0/24,80.81.193.67,80.81.192.67
fra1|13101,80.81.192.83,80.81.195.105|185.118.20.0/24,80.81.195.105,80.81.192.83
fra1|132203,80.81.192.5,80.81.195.120|203.205.224.0/24,80.81.192.5,80.81.195.120
fra1|13237,80.81.192.74,80.81.193.74|83.125.45.0/24,80.81.193.74,80.81.192.74
fra1|13414,80.81.192.10,80.81.194.21|69.195.190.0/24,80.81.194.21,80.81.192.10
fra1|14061,80.81.193.141,80.81.195.151|5.101.109.0/24,80.81.193.141,80.81.195.151
fra1|15133,80.81.194.37,80.81.195.37|68.232.35.0/24,80.81.194.37,80.81.195.37
fra1|15169,80.81.192.108,80.81.193.108|8.8.8.0/24,80.81.192.108,80.81.193.108
fra1|1547,80.81.194.70,80.81.195.70|80.94.241.0/24,80.81.194.70,80.81.195.70
fra1|15598,80.81.192.32,80.81.193.32|81.17.115.0/24,80.81.193.32,80.81.192.32
fra1|15943,80.81.193.125,80.81.194.255|193.31.3.0/24,80.81.193.125,80.81.194.255
fra1|16276,80.81.192.209,80.81.193.209|46.105.198.0/24,80.81.193.209,80.81.192.209
fra1|16509,80.81.194.152,80.81.195.152|99.86.8.0/24,80.81.194.152,80.81.195.152
fra1|198018,80.81.194.111,80.81.194.179|194.153.186.0/24,80.81.194.111,80.81.194.179
fra1|20676,80.81.192.41,80.81.195.115|194.9.127.0/24,80.81.195.115,80.81.192.41
fra1|20810,80.81.194.226,80.81.195.148|212.102.118.0/24,80.81.195.148,80.81.194.226
fra1|22822,80.81.192.221,80.81.193.221|208.111.184.0/24,80.81.192.221,80.81.193.221
fra1|24940,80.81.192.164,80.81.193.164|185.110.95.0/24,80.81.192.164,80.81.193.164
fra1|24989,80.81.192.234,80.81.193.234|163.244.19.0/24,80.81.193.234,80.81.192.234
fra1|26667,80.81.193.126,80.81.193.147|69.173.144.0/24,80.81.193.147,80.81.193.126
fra1|2686,80.81.192.199,80.81.193.199|15.24.137.0/24,80.81.192.199,80.81.193.199
fra1|27281,80.81.194.194,80.81.195.236|91.228.74.0/24,80.81.194.194,80.81.195.236
fra1|31334,80.81.192.249,80.81.193.249,80.81.194.249|31.16.0.0/24,80.81.192.249,80.81.194.249,80.81.193.249
fra1|3209,80.81.192.117,80.81.193.117|193.25.247.0/24,80.81.192.117,80.81.193.117
fra1|33438,80.81.193.40,80.81.195.145|81.171.108.0/24,80.81.195.145,80.81.193.40
fra1|34309,80.81.192.218,80.81.193.218|85.131.137.0/24,80.81.192.218,80.81.193.218
fra1|36408,80.81.192.65,80.81.194.4|148.253.242.0/24,80.81.194.4,80.81.192.65
fra1|36459,80.81.196.79,80.81.196.80|140.82.120.0/24,80.81.196.79,80.81.196.80
fra1|39386,80.81.194.159,80.81.195.159|84.235.95.0/24,80.81.195.159,80.81.194.159
fra1|46489,80.81.193.81,80.81.194.181|23.160.0.0/24,80.81.194.181,80.81.193.81
fra1|47254,80.81.192.167,80.81.195.122|207.229.114.0/24,80.81.192.167,80.81.195.122
fra1|54113,80.81.195.54,80.81.195.55|23.235.37.0/24,80.81.195.54,80.81.195.55
fra1|58453,80.81.193.51,80.81.195.121|223.118.9.0/24,80.81.195.121,80.81.193.51
fra1|61157,80.81.192.21,80.81.196.8|92.51.171.0/24,80.81.192.21,80.81.196.8
fra1|62044,80.81.193.24,80.81.193.90|137.83.139.0/24,80.81.193.90,80.81.193.24
fra1|6507,80.81.193.162,80.81.193.163|162.249.79.0/24,80.81.193.162,80.81.193.163
fra1|6667,80.81.192.144,80.81.194.150|192.136.74.0/24,80.81.192.144,80.81.194.150
fra1|680,80.81.192.222,80.81.193.222|129.233.210.0/24,80.81.192.222,80.81.193.222
fra1|6805,80.81.192.89,80.81.193.89|194.15.237.0/24,80.81.193.89,80.81.192.89
fra1|714,80.81.193.202,80.81.193.223,80.81.194.161,80.81.194.171|17.84.199.0/24,80.81.194.171,80.81.194.161,80.81.193.202,80.81.193.223
fra1|8218,80.81.192.13,80.81.193.13|31.222.193.0/24,80.81.192.13,80.81.193.13
fra1|8220,80.81.192.61,80.81.193.61|37.34.68.0/24,80.81.193.61,80.81.192.61
fra1|8359,80.81.192.78,80.81.193.78|62.113.88.0/24,80.81.193.78,80.81.192.78
fra1|8422,80.81.192.212,80.81.193.212|83.138.60.0/24,80.81.193.212,80.81.192.212
fra1|8426,80.81.192.86,80.81.193.86|193.96.236.0/24,80.81.192.86,80.81.193.86
fra1|8560,80.81.192.123,80.81.193.123|46.242.149.0/24,80.81.192.123,80.81.193.123
fra1|8881,80.81.193.80,80.81.195.188|82.207.238.0/24,80.81.193.80,80.81.195.188
fra1|9050,80.81.192.54,80.81.193.54|31.14.20.0/24,80.81.193.54,80.81.192.54
fra1|9063,80.81.192.100,80.81.193.100|95.156.202.0/24,80.81.192.100,80.81.193.100
fra1|9116,80.81.194.65,80.81.195.65|212.199.74.0/24,80.81.195.65,80.81.194.65
fra1|9145,80.81.192.247,80.81.195.139|185.60.1.0/24,80.81.195.139,80.81.192.247
ham1|13101,80.81.203.13,193.42.155.12|185.118.20.0/24,80.81.203.13,193.42.155.12
ham1|13335,80.81.203.10,193.42.155.58|198.41.128.0/24,80.81.203.10,193.42.155.58
ham1|15169,80.81.203.34,193.42.155.46|8.8.8.0/24,80.81.203.34,193.42.155.46
ham1|15943,80.81.203.37,193.42.155.11|193.102.14.0/24,80.81.203.37,193.42.155.11
ham1|42,80.81.203.46,193.42.155.3|65.22.4.0/24,193.42.155.3,80.81.203.46
ham1|48200,80.81.203.135,193.42.155.26|194.62.23.0/24,193.42.155.26,80.81.203.135
ham1|49009,80.81.203.24,185.1.35.17,193.42.155.56,193.42.155.76|193.96.224.0/24,80.81.203.24,193.42.155.56
ham1|50629,80.81.203.22,185.1.35.3,193.42.155.55|87.253.189.0/24,185.1.35.3,80.81.203.22
hkg1|10098,123.255.91.105,123.255.91.116|49.213.1.0/24,123.255.91.105,123.255.91.116
hkg1|10118,123.255.90.203,123.255.90.223|117.103.158.0/24,123.255.90.223,123.255.90.203
hkg1|10122,36.255.57.5,36.255.57.6|164.90.66.0/24,36.255.57.5,36.255.57.6
hkg1|132203,36.255.56.70,36.255.56.71,36.255.56.120,36.255.56.121,123.255.90.106,123.255.90.151,123.255.90.152,123.255.90.153,123.255.90.154,123.255.90.173,123.255.91.173|103.7.31.0/24,36.255.56.121,36.255.56.120
hkg1|133142,123.255.91.90,123.255.92.16|103.101.215.0/24,123.255.91.90,123.255.92.16
hkg1|13335,36.255.56.48,103.247.139.50,123.255.90.246|8.31.161.0/24,103.247.139.50,123.255.90.246,36.255.56.48
hkg1|13414,36.255.56.68,103.247.139.53,123.255.90.149|69.195.191.0/24,123.255.90.149,36.255.56.68,103.247.139.53
hkg1|134705,36.255.56.186,123.255.91.235|154.91.95.0/24,36.255.56.186,123.255.91.235
hkg1|135391,36.255.56.138,123.255.90.38|45.253.246.0/24,123.255.90.38,36.255.56.138
hkg1|14537,36.255.56.160,123.255.91.100|5.62.84.0/24,123.255.91.100,36.255.56.160
