#This ducoment lists the peering ASes of Hurricane Electric via IXP at each border router.
#Format:
#border router|peering ASN,<list of neighbor addresses (separated by comma)>
ams1|49605,80.249.212.150
ams1|197595,80.249.212.156
ams1|15547,80.249.212.158
ams1|62044,80.249.212.162,80.249.212.163
ams1|18001,80.249.212.176
ams1|54113,80.249.212.183,80.249.212.184
ams1|59624,80.249.212.186
ams1|41041,80.249.212.188,80.249.212.189
ams1|45352,80.249.212.191
ams1|3910,80.249.212.192
ams1|200981,80.249.212.195,80.249.212.196
ams1|56630,80.249.212.199
ams1|6682,80.249.212.200
ams1|4637,80.249.212.88,80.249.212.201
ams1|42841,80.249.212.204
ams1|55818,80.249.212.208
ams1|59318,80.249.212.209
ams1|41405,80.249.212.210
ams1|43995,80.249.212.211
ams1|33047,80.249.212.213
ams1|202932,80.249.212.214
ams1|25369,80.249.212.219
ams1|21013,80.249.212.224
ams1|203164,80.249.212.226
ams1|200794,80.249.212.229
ams1|58952,80.249.212.236
ams1|26667,80.249.212.237
ams1|49981,80.249.210.37,80.249.212.243
ams1|56611,80.249.212.253
ams1|27024,80.249.213.2
ams1|64271,80.249.213.3
ams1|61317,80.249.213.5
ams1|206264,80.249.213.10
ams1|50812,80.249.213.27
ams1|135391,80.249.213.28
ams1|64049,80.249.212.246,80.249.213.41
ams1|7862,80.249.213.42
ams1|61323,80.249.213.47
ams1|37468,80.249.213.48
ams1|60350,80.249.213.53
ams1|62597,80.249.213.54
ams1|47254,80.249.213.59,80.249.213.60
ams1|44843,80.249.213.61
ams1|60294,80.249.213.71
ams1|15695,80.249.213.72
ams1|34087,80.249.213.73
ams1|31510,80.249.213.75
ams1|20546,80.249.213.81
ams1|200612,80.249.213.82
ams1|56647,80.249.213.84
ams1|29314,80.249.213.90
ams1|32787,80.249.213.92
ams1|54825,80.249.213.96
ams1|43727,80.249.213.103
ams1|42184,80.249.213.113
ams1|33438,80.249.212.1,80.249.213.122
ams1|45899,80.249.213.128
ams1|39351,80.249.213.131
ams1|38001,80.249.213.132
ams1|44684,80.249.213.136
ams1|54994,80.249.213.137
ams1|48345,80.249.213.138
ams1|14061,80.249.211.163,80.249.213.143
ams1|2018,80.249.213.145
ams1|202169,80.249.213.147
ams1|12876,80.249.212.93,80.249.213.152
ams1|35625,80.249.213.156
ams1|63113,80.249.213.168
ams1|204995,80.249.213.186,80.249.213.187
ams1|15576,80.249.213.197
ams1|58580,80.249.213.202
ams1|207083,80.249.213.232
ams1|204196,80.249.213.233
ams1|46786,80.249.213.234
ams1|64050,80.249.213.235
ams1|263009,80.249.214.1
ams1|47869,80.249.209.202,185.1.32.1
ams1|51942,185.1.32.6
ams1|13335,80.249.211.140,185.1.32.22
ams1|57758,185.1.32.23
ams1|60022,80.249.213.218,185.1.32.33
ams1|49917,185.1.32.254
ams1|59964,185.1.94.1
